player_name,Team,G,MP,VORP,BPM,WS,PER,TS%
James Wiseman,IND,4.0,58.0,-0.1,-9.0,0.0,4.1,0.597
Johni Broome,PHI,11.0,55.0,-0.2,-16.3,-0.2,0.3,0.188
Cody Martin,IND,4.0,55.0,-0.1,-8.0,-0.1,3.0,0.277
Wendell Moore Jr.,DET,5.0,54.0,0.0,-0.6,0.1,9.9,0.635
Trey Alexander,NOP,6.0,53.0,0.0,0.0,0.1,12.8,0.731
Jahmir Young,MIA,11.0,51.0,-0.1,-9.2,0.0,5.6,0.437
Lawson Lovering,MEM,2.0,49.0,0.0,-3.7,0.1,13.8,0.574
Keshon Gilbert,WAS,3.0,48.0,-0.1,-6.6,-0.1,4.5,0.521
Tristan Enaruna,CLE,7.0,46.0,-0.1,-8.8,0.0,8.2,0.407
Mo Bamba,2TM,4.0,44.0,-0.1,-8.1,0.1,13.0,0.455
Mo Bamba,TOR,2.0,6.0,0.0,-21.4,0.0,-2.8,0.0
Mo Bamba,UTA,2.0,38.0,0.0,-5.9,0.1,15.5,0.556
Isaiah Stevens,SAC,3.0,43.0,0.0,2.1,0.1,16.5,0.571
Dario Šarić,SAC,5.0,41.0,-0.1,-9.0,-0.1,0.6,0.363
Koby Brea,PHO,9.0,40.0,0.0,0.1,0.1,14.3,0.615
Skal Labissière,WAS,3.0,38.0,0.0,0.3,0.1,16.4,0.65
Markelle Fultz,TOR,5.0,36.0,-0.1,-16.4,-0.2,-2.0,0.182
Tre Scott,BRK,2.0,36.0,0.0,-1.0,0.1,17.1,0.592
Grant Nelson,BRK,4.0,35.0,0.0,2.3,0.1,17.6,0.634
Curtis Jones,DEN,7.0,33.0,-0.1,-12.3,-0.1,3.6,0.321
Emanuel Miller,CHI,5.0,33.0,0.0,2.4,0.1,15.1,0.54
Jahmyl Telfort,LAC,8.0,32.0,-0.1,-13.9,-0.1,-5.3,0.087
Dillon Jones,NYK,6.0,27.0,0.0,0.0,0.1,13.2,0.451
Hunter Sallis,PHI,7.0,26.0,-0.1,-10.6,-0.1,2.0,0.595
Mark Sears,MIL,7.0,26.0,0.0,-2.2,0.0,15.2,0.666
Sean Pedulla,LAC,5.0,26.0,0.0,-8.6,0.0,11.6,0.5
Isaac Jones,2TM,6.0,26.0,0.0,-6.1,0.0,9.1,0.509
Isaac Jones,SAC,3.0,17.0,0.0,-8.2,0.0,5.7,0.521
Isaac Jones,DET,3.0,9.0,0.0,-2.1,0.0,15.6,0.5
Chris Mañon,LAL,6.0,25.0,0.0,-0.7,0.0,9.2,0.347
Orlando Robinson,ORL,4.0,25.0,0.0,1.3,0.1,14.6,0.7
Riley Minix,2TM,7.0,25.0,0.1,9.7,0.1,26.7,0.792
Riley Minix,SAS,3.0,8.0,0.1,25.5,0.1,44.7,0.75
Riley Minix,CLE,4.0,17.0,0.0,2.3,0.1,18.3,0.833
Dalano Banton,2TM,5.0,25.0,0.0,-5.0,0.0,12.6,0.506
Dalano Banton,LAC,2.0,10.0,0.0,12.5,0.0,27.8,0.75
Dalano Banton,BOS,3.0,15.0,-0.1,-16.7,0.0,2.5,0.34
Harrison Ingram,SAS,6.0,20.0,0.0,5.0,0.1,20.5,0.917
Brandon Clarke,MEM,2.0,20.0,0.0,-4.9,0.0,12.4,0.372
Norchad Omier,LAC,4.0,19.0,0.1,8.7,0.2,33.7,0.888
Jayson Kent,POR,3.0,19.0,0.0,7.9,0.1,21.2,0.776
Jacob Toppin,ATL,5.0,17.0,0.0,0.5,0.0,15.2,0.667
Chris Livingston,CLE,3.0,17.0,0.0,-2.8,0.1,15.4,0.605
Rocco Zikarsky,MIN,4.0,16.0,0.0,2.3,0.1,21.1,0.6
Buddy Boeheim,OKC,4.0,15.0,0.0,-8.3,0.0,4.6,0.5
N'Faly Dante,ATL,4.0,15.0,0.0,-4.5,0.0,12.4,0.338
Vladislav Goldin,MIA,5.0,14.0,0.0,-0.7,0.0,12.1,0.667
David Roddy,DEN,3.0,14.0,0.0,-4.4,0.0,11.9,0.34
Alex Morales,ORL,2.0,14.0,0.0,-13.7,0.0,1.3,0.333
Max Shulga,BOS,9.0,13.0,0.0,-13.5,0.0,1.0,0.41
Chucky Hepburn,TOR,2.0,13.0,-0.1,-23.9,-0.1,-13.5,0.0
John Tonje,BOS,5.0,12.0,0.0,-7.2,0.0,8.1,0.347
Alex Antetokounmpo,MIL,4.0,12.0,0.0,-8.2,0.0,12.3,0.452
Colin Castleton,ORL,2.0,12.0,0.0,-13.7,-0.1,-1.8,0.333
Zyon Pullin,MIN,3.0,9.0,0.0,0.5,0.0,14.9,1.064
Hunter Dickinson,NOP,2.0,9.0,0.0,-23.1,-0.1,-11.7,0.333
Tosan Evbuomwan,NYK,5.0,8.0,0.0,-11.6,0.0,-0.3,0.0
Enrique Freeman,MIN,2.0,8.0,0.0,2.4,0.0,9.1,
CJ Huntley,PHO,2.0,7.0,0.0,-7.0,0.0,7.1,0.5
Payton Sandfort,OKC,2.0,7.0,-0.1,-33.3,-0.1,-15.1,0.34
Stanley Umude,SAS,2.0,7.0,0.0,0.4,0.0,11.6,0.5
Colby Jones,DET,1.0,7.0,0.0,2.4,0.0,13.0,0.333
Noa Essengue,CHI,2.0,6.0,0.0,-23.7,-0.1,-12.0,0.0
Trentyn Flowers,CHI,2.0,6.0,0.0,-1.0,0.0,16.7,0.667
Trevor Keels,MIA,4.0,5.0,0.0,-40.1,-0.1,-22.7,0.0
Olivier Sarr,CLE,2.0,5.0,0.0,-13.1,0.0,-1.8,0.568
Darius Brown II,CLE,1.0,3.0,0.0,-18.6,0.0,-7.7,0.0
League Average,,,,,,,,0.581
